,tweet_length
0,107
1,109
2,119
3,111
4,88
5,122
6,123
7,118
8,101
9,89
10,95
11,103
12,101
13,101
14,80
15,85
16,125
17,102
18,113
19,91
20,108
21,106
22,115
23,104
24,129
25,103
26,116
27,102
28,89
29,101
30,112
31,72
32,68
33,68
34,103
35,66
36,81
37,83
38,72
39,71
40,63
41,44
42,79
43,75
44,87
45,51
46,58
47,66
48,64
49,94
50,69
51,80
52,64
53,78
54,61
55,78
56,60
57,57
58,75
59,96
60,71
61,67
62,65
63,47
64,61
65,80
66,63
67,82
68,68
69,47
70,65
71,64
72,72
73,86
74,53
75,49
76,64
77,71
78,69
79,72
80,53
81,73
82,57
83,68
84,73
85,58
86,79
87,63
88,89
89,81
90,70
91,67
92,55
93,80
94,70
95,66
96,53
97,85
98,86
99,67
100,131
101,118
102,108
103,118
104,90
105,97
106,106
107,100
108,109
109,112
110,98
111,89
112,98
113,97
114,104
115,128
116,110
117,128
118,121
119,112
120,88
121,100
122,115
123,87
124,106
125,105
126,116
127,95
128,95
129,106
130,81
131,85
132,91
133,99
134,104
135,104
136,91
137,125
138,81
139,123
140,103
141,117
142,129
143,117
144,91
145,109
146,120
147,105
148,97
149,111
150,118
151,111
152,112
153,102
154,102
155,101
156,88
157,65
158,80
159,62
160,61
161,67
162,73
163,56
164,63
165,62
166,62
167,64
168,48
169,62
170,85
171,59
172,56
173,79
174,53
175,85
176,51
177,60
178,58
179,70
180,64
181,95
182,71
183,91
184,101
185,79
186,80
187,61
188,76
189,71
190,57
191,59
192,72
193,73
194,54
195,66
196,74
197,72
198,88
199,98
200,75
201,53
202,69
203,70
204,87
205,81
206,108
207,49
208,103
209,97
210,65
211,99
212,107
213,103
214,126
215,98
216,130
217,88
218,95
219,106
220,85
221,104
222,107
223,107
224,107
225,98
226,91
227,104
228,105
229,108
230,119
231,93
232,100
233,102
234,95
235,103
236,107
237,114
238,104
239,94
240,89
241,91
242,108
243,98
244,90
245,107
246,113
247,115
248,92
249,105
250,103
251,114
252,92
253,90
254,86
255,64
256,60
257,63
258,58
259,69
260,80
261,56
262,53
263,65
264,76
265,62
266,64
267,73
268,57
269,70
270,73
271,48
272,74
273,52
274,66
275,65
276,53
277,69
278,66
279,76
280,70
281,64
282,80
283,66
284,98
285,61
286,70
287,67
288,60
289,47
290,56
291,104
292,61
293,39
294,60
295,62
296,76
297,71
298,88
299,48
300,86
301,96
302,59
303,49
304,50
305,73
306,56
307,86
308,69
309,67
310,59
311,95
312,66
313,66
314,87
315,81
316,93
317,67
318,65
319,67
320,89
321,83
322,78
323,101
324,68
325,103
326,116
327,105
328,120
329,80
330,83
331,107
332,111
333,106
334,92
335,91
336,94
337,110
338,105
339,95
340,102
341,106
342,124
343,105
344,100
345,118
346,80
347,103
348,99
349,89
350,117
351,117
352,97
353,105
354,95
355,122
356,99
357,93
358,91
359,113
360,120
361,83
362,100
363,121
364,74
365,89
366,68
367,64
368,49
369,48
370,66
371,66
372,87
373,35
374,56
375,67
376,70
377,53
378,74
379,64
380,69
381,109
382,63
383,78
384,71
385,60
386,63
387,60
388,97
389,71
390,110
391,94
392,69
393,71
394,74
395,63
396,56
397,94
398,106
399,77
400,82
401,70
402,96
403,83
404,81
405,109
406,110
407,105
408,98
409,100
410,118
411,94
412,93
413,101
414,93
415,118
416,106
417,77
418,123
419,83
420,126
421,110
422,96
423,102
424,116
425,85
426,124
427,95
428,111
429,109
430,81
431,90
432,124
433,99
434,117
435,124
436,102
437,108
438,106
439,115
440,96
441,106
442,91
443,93
444,87
445,92
446,78
447,79
448,109
449,86
450,89
451,76
452,76
453,83
454,59
455,48
456,64
457,65
458,65
459,64
460,98
461,66
462,62
463,49
464,67
465,71
466,60
467,67
468,62
469,65
470,75
471,81
472,51
473,102
474,59
475,70
476,62
477,64
478,71
479,70
480,71
481,75
482,62
483,75
484,60
485,93
486,87
487,118
488,89
489,77
490,119
491,81
492,86
493,91
494,99
495,122
496,114
497,105
498,96
499,105
500,103
501,103
502,104
503,81
504,116
505,98
506,100
507,113
508,118
509,116
510,88
511,97
512,103
513,107
514,137
515,97
516,107
517,121
518,103
519,90
520,111
521,98
522,92
523,84
524,98
525,93
526,97
527,91
528,116
529,88
530,80
531,120
532,107
533,128
534,125
535,92
536,108
537,99
538,97
539,97
540,52
541,73
542,60
543,70
544,67
545,62
546,49
547,53
548,56
549,58
550,56
551,52
552,65
553,51
554,53
555,69
556,66
557,56
558,81
559,69
560,64
561,59
562,51
563,74
564,59
565,68
566,70
567,84
568,68
569,54
570,56
571,57
572,44
573,70
574,57
575,61
